motivation_seeking_class,prior_participation_open_house,prior_participation_instant_decision,prior_participation_oncampus_session,prior_participation_virtual_session,prior_participation_women_dare,prior_participation_regional_fair,extent_school_computing_class,extent_school_computing_club,extent_computing_competitions,extent_afterschool_computing,extent_summer_computing_camp,extent_ap_computing,extent_dual_enrollment,extent_family_friend,extent_family_friend_computing,extent_teacher_counselor,extent_employer,hear_about_ccm,new_class_interest,new_class_interest_specific
It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Advancement;Personal Enrichment;Curiosity,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Web site;Billboard;Family member or friend,1,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Billboard,2,CyberSecurity
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,Web site,1,
It’s a required class for the degree I’m seeking,Not Sure,Not Sure,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Current student,2,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Family member or friend,1,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,,,,,,,,,,,,High School,2,CyberSecurity
It’s a required class for the degree I’m seeking,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Web site;Social Media;Community Event;Family member or friend;Alumni;High School,1,
It’s a required class for the degree I’m seeking;To keep current in computing skills,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,Web site;Billboard;Television;Radio;Social Media;Community Event;Family member or friend;Alumni,2,CyberSecurity
To keep current in computing skills,No,No,Yes,No,No,No,Some Impact,,,,,,,Some Impact,No Impact,,,Family member or friend;High School,4,Web Development
It’s a required class for the degree I’m seeking,Yes,No,No,No,No,No,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Web site,4,Computer Programming
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,,,,,,,,,,,,Family member or friend;Current student;High School,1,
It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Advancement;Career Change;Job Displacement;Personal Enrichment;Curiosity,Yes,No,Not Sure,Not Sure,Not Sure,Yes,High Impact,Some Impact,Some Impact,High Impact,,,,No Impact,Some Impact,High Impact,,Web site;Billboard;Television;Social Media;Family member or friend,5,Web Development;App Development;Data Analytics;Computer Programming;Game Design
It’s a required class for the degree I’m seeking,Yes,No,No,No,No,No,No Impact,,,,,,,No Impact,No Impact,No Impact,No Impact,Family member or friend;Current student;High School,2,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,Some Impact,Family member or friend;High School,4,
It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Advancement;Career Change;Professional Development;Curiosity,No,No,Yes,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Web site;Billboard;Television;Radio;Social Media;Community Event;Family member or friend;Employer;Current student;Alumni;High School,2,CyberSecurity;Game Design
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Web site;Billboard;Television;Family member or friend,3,App Development
Career Advancement,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Family member or friend;High School,1,
It’s a required class for the degree I’m seeking;To keep current in computing skills,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High School,1,
It’s a required class for the degree I’m seeking,No,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Alumni,1,Web Development
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,,,,,,,,,,,,Family member or friend,1,
It’s a required class for the degree I’m seeking,No,No,No,No,No,Yes,Some Impact,,,,,,,,,,,Web site;Billboard;Social Media;Family member or friend;Current student;High School,2,Web Development
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High School,2,
It’s a required class for the degree I’m seeking;To keep current in computing skills,Yes,Not Sure,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend;Employer;Current student;Alumni;High School,1,CyberSecurity
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend,1,
It’s a required class for the degree I’m seeking;Personal Enrichment;Curiosity,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,Web site;Billboard;Current student;Alumni;High School,3,CyberSecurity;App Development;Game Design
It’s a required class for the degree I’m seeking;To keep current in computing skills;Professional Development;Technology is so prevalent these days. And i am looking to enter into the nursing and radiography fields. Tech has become a mainstay in both but knowledge working with computers is especially needed in radiography. I feel it is good for me to keep up with the changing world of technology ,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Web site;i had attendend ccm years ago right out of high school. I grew up in the area and always knew of the school,4,CyberSecurity;Machine Learning/Artificial Intelligence
It’s a required class for the degree I’m seeking;To keep current in computing skills,Not Sure,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,Web site;Billboard;Social Media;Community Event;Family member or friend;High School,1,Game Design
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Web site;Radio;Community Event;Family member or friend;Employer;Current student;Alumni;High School,2,
It’s a required class for the degree I’m seeking,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Family member or friend;Current student;Alumni;High School,2,
